timestamp,date,employee_id,employee_name,metric,value,unit,month,quarter
2025-01-01 00:00:00,2025-01-01,1008,Sana Kumar,daily_sales,25274.38,INR,2025-01,Q1-2025
2025-01-02 00:00:00,2025-01-02,1008,Sana Kumar,daily_sales,63458.62,INR,2025-01,Q1-2025
2025-01-03 00:00:00,2025-01-03,1008,Sana Kumar,daily_sales,9149.05,INR,2025-01,Q1-2025
2025-01-04 00:00:00,2025-01-04,1008,Sana Kumar,daily_sales,21859.25,INR,2025-01,Q1-2025
2025-01-05 00:00:00,2025-01-05,1008,Sana Kumar,daily_sales,36108.73,INR,2025-01,Q1-2025
2025-01-06 00:00:00,2025-01-06,1008,Sana Kumar,daily_sales,17521.84,INR,2025-01,Q1-2025
2025-01-07 00:00:00,2025-01-07,1008,Sana Kumar,daily_sales,30577.68,INR,2025-01,Q1-2025
2025-01-08 00:00:00,2025-01-08,1008,Sana Kumar,daily_sales,8764.73,INR,2025-01,Q1-2025
2025-01-09 00:00:00,2025-01-09,1008,Sana Kumar,daily_sales,33017.89,INR,2025-01,Q1-2025
2025-01-10 00:00:00,2025-01-10,1008,Sana Kumar,daily_sales,43028.6,INR,2025-01,Q1-2025
2025-01-11 00:00:00,2025-01-11,1008,Sana Kumar,daily_sales,20798.31,INR,2025-01,Q1-2025
2025-01-12 00:00:00,2025-01-12,1008,Sana Kumar,daily_sales,8438.05,INR,2025-01,Q1-2025
2025-01-13 00:00:00,2025-01-13,1008,Sana Kumar,daily_sales,20529.27,INR,2025-01,Q1-2025
2025-01-14 00:00:00,2025-01-14,1008,Sana Kumar,daily_sales,18006.76,INR,2025-01,Q1-2025
2025-01-15 00:00:00,2025-01-15,1008,Sana Kumar,daily_sales,31311.78,INR,2025-01,Q1-2025
2025-01-16 00:00:00,2025-01-16,1008,Sana Kumar,daily_sales,54825.6,INR,2025-01,Q1-2025
2025-01-17 00:00:00,2025-01-17,1008,Sana Kumar,daily_sales,54289.7,INR,2025-01,Q1-2025
2025-01-18 00:00:00,2025-01-18,1008,Sana Kumar,daily_sales,39103.14,INR,2025-01,Q1-2025
2025-01-19 00:00:00,2025-01-19,1008,Sana Kumar,daily_sales,10821.3,INR,2025-01,Q1-2025
2025-01-20 00:00:00,2025-01-20,1008,Sana Kumar,daily_sales,28698.12,INR,2025-01,Q1-2025
2025-01-21 00:00:00,2025-01-21,1008,Sana Kumar,daily_sales,38458.9,INR,2025-01,Q1-2025
2025-01-22 00:00:00,2025-01-22,1008,Sana Kumar,daily_sales,51701.02,INR,2025-01,Q1-2025
2025-01-23 00:00:00,2025-01-23,1008,Sana Kumar,daily_sales,36522.7,INR,2025-01,Q1-2025
